K,AUROC_mean,AUROC_std,AUROC_ci_lower,AUROC_ci_upper,AUPRC_mean,AUPRC_std,AUPRC_ci_lower,AUPRC_ci_upper
2,0.539727861414247,0.020393146454078772,0.5050338066426022,0.5771053223778712,0.5756374131637538,0.027152702167535826,0.5241312296483089,0.6361012630619352
3,0.6534057237516788,0.020516349581568272,0.6137404151268464,0.6929800674485119,0.6680923860456015,0.02503355269804225,0.6157542119807292,0.7171936011864062
4,0.6994155093530869,0.019359474226400917,0.6644747716588748,0.7360932915191961,0.6824820992275906,0.027172257716203678,0.6283855267513058,0.7294959192182039
6,0.7649860392356095,0.016903279876699106,0.7333629689113227,0.7974912232487044,0.7466794177335743,0.027706692804470044,0.6891192563347469,0.7890738276868158
8,0.8095489768157649,0.0155723149549923,0.7781128995984555,0.8379221641449758,0.8227712201053358,0.019971956597382,0.7820336774871761,0.8557866308194011
10,0.8200316742964902,0.016410841286049572,0.7893391691124988,0.8535566573193869,0.8259511302520244,0.01924416254154397,0.7867239443887721,0.8583440980539351
